season,user_id,owner,team_name,final_rank,reg_season_rank,reg_record,reg_win_pct,reg_pf,reg_pa,playoff_record,playoff_games,playoff_pf,total_record,total_pf,avg_ppg,high_week_score,high_week_when,low_week_score,low_week_when
2024,21680087,Kyle,Devin Singularity,8,9,5-9-0,0.3571,1615.76,1693.5,0-0-0,0,0.0,5-9-0,1615.76,115.41,154.02,W16 vs Joey,84.14,W7 vs Joey
2024,21679440,Joey,PWD,9,8,5-9-0,0.3571,1681.14,1872.8,0-0-0,0,0.0,5-9-0,1681.14,120.08,147.76,W1 vs Evan,97.18,W10 vs Ricci
2024,22539599,Charlie,Sex God,10,7,7-7-0,0.5,1693.92,1757.54,0-0-0,0,0.0,7-7-0,1693.92,120.99,152.98,W14 vs Kyle,91.16,W16 vs Evan
2024,25033943,Isaac,Sean Costigan,11,11,4-10-0,0.2857,1677.26,1879.16,0-0-0,0,0.0,4-10-0,1677.26,119.8,155.44,W11 vs Joey,91.7,W9 vs Luke
2024,21679447,Mason,Rizzlers,12,12,4-10-0,0.2857,1509.64,1673.26,0-0-0,0,0.0,4-10-0,1509.64,107.83,158.4,W1 vs Isaac,65.6,W2 vs Ricci
2025,21679447,Mason,Rizzlers,1,1,10-4-0,0.7143,1771.46,1683.7,2-0-0,2,313.3,12-4-0,2084.76,130.3,192.8,W16 vs Kyle,95.4,W13 vs Kyle
2025,21679454,Connie,Tequila Sunrise,2,7,7-7-0,0.5,1500.46,1639.96,1-1-0,2,226.8,8-8-0,1727.26,107.95,176.28,W15 vs Charlie,70.74,W7 vs sean
2025,21680682,Andrew,Bo Dix,3,4,7-7-0,0.5,1646.88,1640.14,1-1-0,2,189.4,8-8-0,1836.28,114.77,150.96,W3 vs Connor,85.52,W12 vs Chris
2025,21680087,Kyle,Ginger Ninger,4,3,8-6-0,0.5714,1654.54,1696.8,1-2-0,3,282.94,9-8-0,1937.48,113.97,176.16,W5 vs Isaac,69.08,W8 vs Charlie
2025,25033943,Isaac,CHILD OF GOD,5,2,10-4-0,0.7143,1986.44,1797.64,0-1-0,1,112.3,10-5-0,2098.74,139.92,171.26,W5 vs Kyle,112.3,W15 vs Kyle
2025,22539599,Charlie,Money God,6,8,7-7-0,0.5,1529.46,1588.1,0-1-0,1,151.72,7-8-0,1681.18,112.08,151.76,W2 vs Chris,74.5,W8 vs Kyle
2025,21679440,Joey,Building Rome,7,6,7-7-0,0.5,1666.52,1775.54,0-0-0,0,0.0,7-7-0,1666.52,119.04,163.36,W16 vs Chris,80.22,W8 vs Luke
2025,30533399,Evan,WHITEBOY FOOTBALL,8,11,5-9-0,0.3571,1592.04,1668.72,0-0-0,0,0.0,5-9-0,1592.04,113.72,153.28,W8 vs sean,88.66,W12 vs Connor
2025,21239480,Connor,The people's TightEnd,9,5,7-7-0,0.5,1902.42,1690.18,0-0-0,0,0.0,7-7-0,1902.42,135.89,187.72,W12 vs Kyle,21.08,W16 vs Evan
2025,21680417,Chris,Kyler the Creator,10,9,6-8-0,0.4286,1785.2,1714.12,0-0-0,0,0.0,6-8-0,1785.2,127.51,177.22,W7 vs Kyle,99.78,W17 vs Cat
2025,25036608,Luke,The GLIZZYS,11,12,4-10-0,0.2857,1438.14,1581.24,0-0-0,0,0.0,4-10-0,1438.14,102.72,161.18,W8 vs Joey,64.64,W11 vs Kyle
2025,21688760,Sean,The Family Guy,12,10,6-8-0,0.4286,1703.24,1700.66,0-0-0,0,0.0,6-8-0,1703.24,121.66,155.98,W4 vs Kyle,63.5,W17 vs Luke
