PRank Avg,Avg Rank,Name,Min Rank,Max Rank,Avg Min/Max,Key,Rank 1 (ESPN),PRank 1 (ESPN),Rank 2 (FPros),PRank 2 (FPros),Rank 3 (CBS),PRank 3 (CBS),Rank 4 (Ringer),PRank (Ringer),Rank 5 (NFL),PRank 5 (NFL),Rank 6 (Roto),PRank 6 (Roto)
WR51.8,118,Marquise Brown (KC),86,145,115.5,,,,145,WR58,,,137,WR58,86,WR39,104,WR52
RB41.0,118.2,Jordan Mason (MIN),100,146,123,,,,118,RB38,104,RB40,146,RB48,123,RB46,100,RB33
TE14.5,118.3,Colston Loveland (CHI),103,137,120,,117,TE15,137,TE17,110,TE17,111,TE12,103,TE11,132,TE15
TE12.2,118.4,Jake Ferguson (DAL),104,142,123,,104,TE12,110,TE11,142,TE13,119,TE15,,,117,TE10
QB16.3,118.5,Drake Maye (NE),106,144,125,,106,QB17,107,QB16,127,QB15,113,QB18,144,QB17,114,QB15
QB16.2,119,Jordan Love (GB),103,143,123,,103,QB16,109,QB17,132,QB17,108,QB15,143,QB16,119,QB16
RB40.7,119.3,J.K. Dobbins (DEN),103,139,121,,,,139,RB44,103,RB39,,,,,116,RB39
TE13.0,121.5,Dalton Kincaid (BUF),112,133,122.5,,113,TE14,112,TE12,131,TE12,114,TE13,133,TE14,126,TE13
WR53.2,123,Keon Coleman (BUF),109,132,120.5,,125,WR52,130,WR53,124,WR53,132,WR57,109,WR50,118,WR54
QB18.2,123.4,Trevor Lawrence (JAC),111,137,124,,128,QB21,111,QB18,129,QB16,112,QB17,,,137,QB19
QB18.4,123.6,C.J. Stroud (HOU),109,147,128,,109,QB18,113,QB19,,,110,QB16,147,QB19,139,QB20
DST2.0,124,Eagles D/ST,124,124,124,,124,DST2,,,,,,,,,,
WR52.8,124.5,Emeka Egbuka (TB),110,134,122,,131,WR53,125,WR50,118,WR50,129,WR54,134,WR57,110,WR53
RB40.5,126,Rachaad White (TB),113,149,131,,149,RB42,123,RB41,120,RB44,124,RB38,113,RB37,127,RB41
RB45.5,126.5,Jaydon Blue (DAL),116,137,126.5,,,,,,137,RB51,,,116,RB40,,
TE14.2,127,Dallas Goedert (PHI),118,147,132.5,,121,TE16,120,TE13,147,TE14,118,TE14,,,129,TE14
RB41.3,127.3,Austin Ekeler (WAS),101,146,123.5,,137,RB39,132,RB42,101,RB38,122,RB37,126,RB48,146,RB44
WR53.8,127.7,Christian Kirk (HOU),117,142,129.5,,142,WR56,127,WR51,121,WR51,131,WR56,117,WR52,128,WR57
QB19.3,128.3,J.J. McCarthy (MIN),112,145,128.5,,112,QB19,122,QB20,145,QB20,,,,,134,QB18
K1.0,129,Brandon Aubrey,129,129,129,,129,K1,,,,,,,,,,
RB42.2,129.3,Tyjae Spears (TEN),116,145,130.5,,140,RB40,119,RB39,116,RB42,145,RB47,120,RB43,136,RB42
DST3.0,130,Ravens D/ST,130,130,130,,130,DST3,,,,,,,,,,
WR55.0,130,Rashod Bateman (BAL),123,142,132.5,,,,142,WR57,,,123,WR52,,,125,WR56
RB42.3,131.5,Tank Bigsby (JAC),122,143,132.5,,143,RB41,135,RB43,122,RB45,126,RB40,,,,
TE16.5,131.5,Hunter Henry (NE),127,136,131.5,,127,TE17,136,TE16,,,,,,,,
WR60.0,131.5,Jayden Higgins (HOU),130,133,131.5,,,,,,130,,,,,,133,WR60
WR55.2,131.7,Luther Burden III (CHI),120,140,130,,138,WR55,138,WR55,123,WR52,120,WR51,131,WR56,140,WR62
QB20.2,132.2,Tua Tagovailoa (MIA),120,144,132,,120,QB20,128,QB22,134,QB18,135,QB20,,,144,QB21
WR55.4,132.8,Marvin Mims Jr. (DEN),123,150,136.5,,123,WR51,150,WR59,,,142,WR59,125,WR53,124,WR55
WR56.0,132.8,Tre Harris (LAC),110,150,130,,150,WR58,,,140,,,,110,WR51,131,WR59
RB49.0,133,Roschon Johnson (CHI),128,138,133,,,,,,128,RB48,,,138,RB50,,
RB43.5,133.3,Tyler Allgeier (ATL),119,148,133.5,,,,148,RB48,,,128,RB41,119,RB42,138,RB43
RB46.3,134.5,Isaac Guerendo (SF),117,149,133,,,,149,RB49,117,RB43,,,124,RB47,148,RB46
QB20.3,134.7,Matthew Stafford (LAR),126,145,135.5,,133,QB22,126,QB21,,,,,145,QB18,,
DST4.0,135,Vikings D/ST,135,135,135,,135,DST4,,,,,,,,,,
WR61.0,135,Quentin Johnston (LAC),135,135,135,,,,,,,,,,,,135,WR61
WR59.0,136,Jalen McMillan (TB),127,145,136,,,,,,,,127,WR53,136,WR59,145,WR65
RB46.0,136.5,Bhayshul Tuten (JAC),115,149,132,,,,,,135,RB49,147,RB49,115,RB39,149,RB47
RB46.8,136.8,Ray Davis (BUF),126,143,134.5,,,,141,RB45,126,RB47,143,RB46,137,RB49,,
DST5.0,139,Steelers D/ST,139,139,139,,139,DST5,,,,,,,,,,
